r-table__text,movie-rating__financing-source src,fixed-column,r-table__text href,r-table__text 3,r-table__text 4,r-table__text 5,r-table__text 6,r-table__text 7,r-table__text 8,r-table__text 9,r-table__text 10
588,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,"Милый Ханс, дорогой Петр",https://ekinobilet.fond-kino.ru/films/detail/111010715,"ООО ""СТУДИЯ ""ПАССАЖИР""",10.03.2016,15 000 000,35 000 000,37.3%,134 000 000,1 373 920,6 068
589,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Хуже всех,https://ekinobilet.fond-kino.ru/films/detail/111038723,"ООО ""ВГИК-ДЕБЮТ""",03.10.2024,-,30 000 000,65.2%,46 000 000,1 373 703,4 025
590,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Зоськина заправка,https://ekinobilet.fond-kino.ru/films/detail/111036522,"ООО ПРОДЮСЕРСКИЙ ЦЕНТР ""КЛЁВАФИЛЬМ""",13.04.2023,-,15 000 000,40.3%,37 182 000,1 371 456,5 027
591,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Тэли и Толи,https://ekinobilet.fond-kino.ru/films/detail/111005916,"ООО ""ПРОДЮСЕРСКИЙ ЦЕНТР ""ХОРОШО ПРОДАКШН""",01.09.2016,-,25 200 000,66.5%,37 889 165,1 362 650,7 368
592,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Пелевин,https://ekinobilet.fond-kino.ru/films/detail/112011722,"ООО ""МТС МЕДИА""",22.11.2022,-,8 000 000,37.2%,21 477 065,1 351 643,3 672
593,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Паромщик,https://ekinobilet.fond-kino.ru/films/detail/111039425,"АНО ""ТВОРЧЕСКАЯ СТУДИЯ ""СТЕЛЛА""",30.10.2025,-,290 000 000,69.0%,420 000 000,1 351 085,5 401
594,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,КЛЮЧ ВРЕМЕНИ,https://ekinobilet.fond-kino.ru/films/detail/111021019,"АО ""ТПО ""СДФ""",06.08.2020,-,40 000 000,65.0%,61 538 461,1 341 574,11 617
595,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Баба Яга,https://ekinobilet.fond-kino.ru/films/detail/114006518,"ООО ""АРТ ПИКЧЕРС СТУДИЯ""",08.11.2018,-,138 969 465,0.0%,Данные не предоставлены правообладателем,1 334 699,8 105
596,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Смотри мою любовь,https://ekinobilet.fond-kino.ru/films/detail/111018018,"ООО ""ПК ""СЛОВО""",11.04.2019,-,30 000 000,63.9%,46 923 776,1 332 740,11 315
597,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Это не навсегда,https://ekinobilet.fond-kino.ru/films/detail/111008719,"ООО ""ВЕГА ФИЛЬМ""",18.07.2019,-,25 000 000,65.8%,38 000 000,1 299 567,32 051
598,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Подбросы,https://ekinobilet.fond-kino.ru/films/detail/111006618,"ООО ""КОМПАНИЯ ""НОВЫЕ ЛЮДИ""",22.11.2018,-,31 000 000,62.0%,50 000 000,1 281 435,5 587
599,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Реплика (Резервная копия),https://ekinobilet.fond-kino.ru/films/detail/111031524,"ООО ""АРК ПИКЧЕРС""",21.11.2024,-,25 000 000,37.2%,67 153 603,1 267 571,2 716
600,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Хармс,https://ekinobilet.fond-kino.ru/films/detail/111010716,"ООО ""ПРОЛАЙН-МЕДИА""",02.11.2017,-,25 000 000,36.6%,68 294 200,1 254 196,4 881
