r-table__text,movie-rating__financing-source src,fixed-column,r-table__text href,r-table__text 3,r-table__text 4,r-table__text 5,r-table__text 6,r-table__text 7,r-table__text 8,r-table__text 9,r-table__text 10
221,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Пиковая дама. Зазеркалье,https://ekinobilet.fond-kino.ru/films/detail/111003619,"ООО ""РБ ПРОДАКШН""",14.03.2019,15 000 000,35 000 000,63.8%,78 355 155,86 436 644,359 837
222,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,30 свиданий,https://ekinobilet.fond-kino.ru/films/detail/111020815,"ООО ""ИНСПИРЕЙШН ФИЛМС""",04.02.2016,5 000 000,20 000 000,51.4%,48 661 150,85 821 415,357 464
223,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Дикая,https://ekinobilet.fond-kino.ru/films/detail/111011822,"ООО ""МЕГО ДИСТРИБЬЮШН""",23.06.2022,-,30 000 000,36.4%,82 518 100,85 742 614,313 351
224,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,ОДЕССА,https://ekinobilet.fond-kino.ru/films/detail/111009419,"ООО ""МАРМОТ-ФИЛЬМ""",05.09.2019,-,70 000 000,23.3%,300 000 000,83 991 769,332 274
225,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Чинк: хвостатый детектив,https://ekinobilet.fond-kino.ru/films/detail/114004022,"ООО ""СОЮЗМУЛЬТФИЛЬМ""",17.11.2022,-,189 570 282,88.9%,213 218 351,83 844 720,351 901
226,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Царевна и дракон: Тайна волшебного зеркала,https://ekinobilet.fond-kino.ru/films/detail/114003018,"ООО ""ЛИЦЕНЗИОННЫЕ БРЕНДЫ""",23.08.2018,40 000 000,40 000 000,0.0%,Данные не предоставлены правообладателем,83 740 410,464 189
227,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Первый Оскар,https://ekinobilet.fond-kino.ru/films/detail/111005622,"ООО ""КОМПАНИЯ ""НОВЫЕ ЛЮДИ""",21.04.2022,-,140 000 000,48.3%,290 003 490,81 638 392,298 429
228,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Герой (Музыка во льду),https://ekinobilet.fond-kino.ru/films/detail/111000416,"ООО ""МЕДИА АРТ СТУДИО""",31.03.2016,110 000 000,30 000 000,63.0%,222 177 790,80 862 985,345 382
229,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Страсти по Матвею,https://ekinobilet.fond-kino.ru/films/detail/111030223,"ООО ""КЬЮ ЭС ФИЛМС""",19.10.2023,-,30 000 000,50.0%,60 000 000,80 573 067,263 057
230,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,"Ну, здравствуй, Оксана Соколова!",https://ekinobilet.fond-kino.ru/films/detail/111001118,"ООО ""ПРОФИТ""",08.03.2018,50 000 000,5 000 000,66.4%,82 800 488,80 293 162,323 551
231,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Ненормальный,https://ekinobilet.fond-kino.ru/films/detail/111005924,"ООО ""КИНОСТУДИЯ ""СЛОВО""",28.03.2024,-,300 000 000,69.4%,432 282 885,78 071 512,256 491
232,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Моя ужасная сестра,https://ekinobilet.fond-kino.ru/films/detail/111004622,"ЗАО ""МОТОР ФИЛЬМ СТУДИЯ""",24.03.2022,-,71 134 856,86.2%,82 483 698,77 744 815,326 452
233,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Больше чем футбол,https://ekinobilet.fond-kino.ru/films/detail/111021825,"ООО ""ДРАЙВ""",12.06.2025,-,70 000 000,27.7%,252 380 000,77 407 511,210 244
234,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,На районе,https://ekinobilet.fond-kino.ru/films/detail/111011017,"ООО ""МАРС МЕДИА ЭНТЕРТЕЙНМЕНТ""",04.10.2018,-,25 000 000,42.8%,58 447 301,75 971 509,321 010
235,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,"Ганзель, Гретель и Агентство Магии",https://ekinobilet.fond-kino.ru/films/detail/114000121,"ООО ""ВИЗАРТ ФИЛЬМ""",18.03.2021,-,120 000 000,33.6%,357 233 049,74 240 867,359 826
236,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Крепость: щитом и мечом,https://ekinobilet.fond-kino.ru/films/detail/114003015,"ООО ""КИНОКОМПАНИЯ ""СТВ""",29.10.2015,-,50 000 000,36.1%,138 325 738,73 909 871,423 630
237,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,День города,https://ekinobilet.fond-kino.ru/films/detail/111023420,"ООО ""ЛИХО!""",21.01.2021,-,30 000 000,28.0%,107 324 226,73 727 567,298 149
238,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Срочно выйду замуж,https://ekinobilet.fond-kino.ru/films/detail/111017115,"ООО ""АРТ ПИКЧЕРС СТУДИЯ""",31.12.2015,-,35 000 000,0.0%,Данные не предоставлены правообладателем,73 344 171,269 121
239,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Яга. Кошмар темного леса,https://ekinobilet.fond-kino.ru/films/detail/111002320,"ООО ""КЬЮ ЭС ФИЛМС""",27.02.2020,10 000 000,35 000 000,64.8%,69 409 086,73 199 938,314 768
240,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Территория,https://ekinobilet.fond-kino.ru/films/detail/111000515,"ООО ""ГРУППА КОМПАНИЙ ""АНДРЕЕВСКИЙ ФЛАГ""",16.04.2015,30 000 000,30 000 000,12.0%,500 000 000,72 798 023,301 279
241,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Хороший мальчик,https://ekinobilet.fond-kino.ru/films/detail/111009816,"ООО ""2Д ЦЕЛЛУЛОИД""",10.11.2016,-,35 000 000,64.8%,54 000 000,72 711 253,312 761
242,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,9 секунд,https://ekinobilet.fond-kino.ru/films/detail/111016724,"ООО ""КАРО ПРОДАКШН""",26.09.2024,-,80 000 000,69.6%,115 000 000,71 865 867,254 521
243,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Маракуда,https://ekinobilet.fond-kino.ru/films/detail/114004325,"ООО ""КИНОКОМПАНИЯ ""СТВ""",01.05.2025,-,215 000 000,56.6%,380 000 000,71 860 902,206 357
244,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Суворов. Великое путешествие,https://ekinobilet.fond-kino.ru/films/detail/114001222,"ФГУП ""ТПО ""КИНОСТУДИЯ ""СОЮЗМУЛЬТФИЛЬМ""",01.05.2022,50 000 000,150 000 000,51.3%,390 180 718,71 395 371,419 628
245,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Зоя,https://ekinobilet.fond-kino.ru/films/detail/111008220,"АО ""ТПО ""КИНОСТУДИЯ ИМ. М. ГОРЬКОГО""",28.01.2021,-,60 000 000,63.2%,95 000 000,71 116 671,347 151
246,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Завтрак у папы,https://ekinobilet.fond-kino.ru/films/detail/111020215,"ООО ""ОЛ МЕДИА КОМПАНИ""",23.06.2016,10 000 000,20 000 000,52.7%,56 909 520,70 959 744,378 109
247,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Крымский мост. Сделано с любовью,https://ekinobilet.fond-kino.ru/films/detail/111020018,"ООО ""СТУДИЯ ""8 РЯДОВ""",01.11.2018,-,100 000 000,64.8%,154 245 687,70 839 028,307 469
248,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Любовь с ограничениями,https://ekinobilet.fond-kino.ru/films/detail/111008216,"ООО ""АРТ ПИКЧЕРС СТУДИЯ""",09.03.2017,19 000 000,51 000 000,0.0%,Данные не предоставлены правообладателем,70 596 580,298 142
249,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Крякнутые каникулы,https://ekinobilet.fond-kino.ru/films/detail/114003615,"ООО ""АНИМАЦИОННАЯ СТУДИЯ РИМ""",18.02.2016,40 000 000,-,10.0%,399 075 326,70 357 132,347 916
250,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Урфин Джюс возвращается,https://ekinobilet.fond-kino.ru/films/detail/114004019,"ООО ""КИНОКОМПАНИЯ ""СТВ""",24.10.2019,-,200 000 000,66.7%,300 000 000,68 762 773,370 298
251,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Барбоскины на даче,https://ekinobilet.fond-kino.ru/films/detail/114001420,"ООО ""КИНОКОМПАНИЯ ""СТВ""",24.12.2020,-,95 000 000,63.3%,150 100 782,68 406 866,309 356
252,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Бармен,https://ekinobilet.fond-kino.ru/films/detail/111009615,"ООО ""АРТ ПИКЧЕРС СТУДИЯ""",18.06.2015,20 000 000,-,0.0%,Данные не предоставлены правообладателем,67 645 502,302 845
253,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Садко,https://ekinobilet.fond-kino.ru/films/detail/114000518,"ООО ""КИНОКОМПАНИЯ ""СТВ""",24.05.2018,-,60 000 000,29.4%,204 400 968,67 628 115,446 586
254,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,РОБО,https://ekinobilet.fond-kino.ru/films/detail/111017319,"ООО ""ЛАБОРАТОРИЯ КИНО""",31.10.2019,-,30 000 000,21.4%,140 025 000,66 729 347,327 278
255,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,"Ганзель и Гретель: миссия ""Спящая красавица""",https://ekinobilet.fond-kino.ru/films/detail/114004425,"ООО ""КИНОКОМПАНИЯ ""СТВ""",22.05.2025,-,210 000 000,52.5%,400 000 000,66 018 913,241 138
256,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Нахимовцы,https://ekinobilet.fond-kino.ru/films/detail/111027521,"ООО ""КАРО ПРОДАКШН""",28.07.2022,-,50 000 000,64.9%,77 000 000,65 928 261,273 934
257,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Бумеранг,https://ekinobilet.fond-kino.ru/films/detail/111029621,"ООО ""АКТЯБРЬ ФИЛЬМ""",02.12.2021,20 000 000,40 000 000,50.0%,120 000 000,65 369 528,228 458
258,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Пираты галактики «Барракуда»,https://ekinobilet.fond-kino.ru/films/detail/111022724,"ООО ""Р МЕДИА""",22.08.2024,-,90 000 000,70.0%,128 600 000,64 476 175,244 322
259,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Легенды Орленка,https://ekinobilet.fond-kino.ru/films/detail/111005122,"ООО ""ЦЕНТР ВИЗУАЛЬНЫХ ИСКУССТВ""",11.08.2022,-,40 000 000,66.0%,60 600 000,63 897 688,303 872
260,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Все о мужчинах,https://ekinobilet.fond-kino.ru/films/detail/111012716,"ООО ""ФРЕШ-ФИЛЬМ""",01.09.2016,10 000 000,10 000 000,63.9%,31 305 313,62 561 597,256 325
261,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Рашн Юг,https://ekinobilet.fond-kino.ru/films/detail/111002121,"ООО ""ВОДОРОД 2011""",04.03.2021,-,70 000 000,37.4%,186 999 954,60 217 126,223 700
262,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Ёлки-иголки,https://ekinobilet.fond-kino.ru/films/detail/111036622,"АО ""ТПО ""КИНОСТУДИЯ ИМ. М. ГОРЬКОГО""",29.12.2022,-,45 000 000,33.5%,134 229 354,58 570 930,184 571
263,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Млечный путь,https://ekinobilet.fond-kino.ru/films/detail/111018915,"ООО ""ПРОДАКШН ВЭЛЬЮ ВОРЛД ВАЙД""",01.01.2016,36 000 000,22 904 000,65.4%,90 000 000,57 594 800,223 120
264,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Летчик,https://ekinobilet.fond-kino.ru/films/detail/111028821,"АНО ""ИНТЕРФЕСТ""",02.12.2021,30 000 000,129 000 000,49.8%,319 000 000,56 552 053,224 229
265,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Скиф,https://ekinobilet.fond-kino.ru/films/detail/111000318,"ООО ""КИНОКОМПАНИЯ ""СТВ""",18.01.2018,-,50 000 000,29.4%,170 122 675,56 454 340,238 369
266,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Снегирь,https://ekinobilet.fond-kino.ru/films/detail/111037122,"ООО ""КИНОКОМПАНИЯ ""СТВ""",08.06.2023,-,90 000 000,30.2%,298 494 599,56 283 164,185 937
267,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Казнь,https://ekinobilet.fond-kino.ru/films/detail/111001722,"ООО ""ХАЙП ФИЛЬМ""",21.04.2022,-,60 000 000,40.9%,146 721 717,56 262 148,166 139
268,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Девятая,https://ekinobilet.fond-kino.ru/films/detail/111007019,"ООО ""НОН-СТОП ПРОДАКШН""",07.11.2019,-,300 000 000,66.1%,453 704 666,56 068 193,228 269
269,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Грех,https://ekinobilet.fond-kino.ru/films/detail/111014419,"НО ""ФОНД АНДРЕЯ КОНЧАЛОВСКОГО ПО ПОДДЕРЖКЕ КИНО И СЦЕНИЧЕСКИХ ИСКУССТВ""",14.11.2019,-,60 000 000,7.7%,779 941 965,55 697 810,204 626
270,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Чудо-юдо,https://ekinobilet.fond-kino.ru/films/detail/114001817,"ООО ""КИНОФИРМА""",01.01.2018,20 000 000,20 000 000,0.0%,Данные не предоставлены правообладателем,55 317 319,288 599
271,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Золото Умальты,https://ekinobilet.fond-kino.ru/films/detail/111008124,"АО ""ТПО ""СДФ""",04.04.2024,-,80 000 000,66.7%,120 000 000,54 143 275,163 562
272,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Есть только МиГ,https://ekinobilet.fond-kino.ru/films/detail/111044425,"ООО СТУДИЯ ""ВОЕНФИЛЬМ""",27.11.2025,-,75 000 000,30.0%,250 000 000,53 848 055,161 302
273,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Сквозь время (Неведомое),https://ekinobilet.fond-kino.ru/films/detail/111004423,"ООО ""КЕЙ ДИ СТУДИОС"" (КИНОДАНЦ)",15.06.2023,-,35 000 000,21.9%,159 508 750,53 650 848,199 409
274,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Рассвет,https://ekinobilet.fond-kino.ru/films/detail/111000419,"ООО ""ФОРС МЕДИА""",31.01.2019,35 000 000,-,61.7%,56 693 559,53 495 571,233 276
275,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Маме снова 17,https://ekinobilet.fond-kino.ru/films/detail/111023624,"ООО ""СМАРТ ФИЛЬМ""",19.09.2024,-,20 000 000,26.2%,76 323 688,53 469 092,158 204
276,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Pro любовь,https://ekinobilet.fond-kino.ru/films/detail/111016615,"ООО ""МАГНУМ-ФИЛЬМ""",10.12.2015,-,20 000 000,36.2%,55 195 000,53 465 049,191 123
277,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Один хороший день,https://ekinobilet.fond-kino.ru/films/detail/111005325,"ООО ""1-2-3 ПРОДАКШН""",06.03.2025,-,80 000 000,51.2%,156 304 140,53 063 595,131 233
278,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Родители строгого режима (Узник совести),https://ekinobilet.fond-kino.ru/films/detail/111007622,"ООО ""ИСКУССТВО ДЛЯ ЛЮДЕЙ""",14.04.2022,-,50 000 000,68.5%,73 000 000,52 455 852,203 324
279,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Юра дворник,https://ekinobilet.fond-kino.ru/films/detail/111010423,"ООО ""ДУДКА ФИЛМС""",04.05.2023,-,45 000 000,53.6%,84 000 000,51 891 505,177 435
280,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Аманат,https://ekinobilet.fond-kino.ru/films/detail/111010722,"ООО ""ДАГГЕР ФИЛМ""",26.05.2022,40 000 000,40 000 000,28.1%,284 762 939,51 697 381,182 006
281,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,РАЙ,https://ekinobilet.fond-kino.ru/films/detail/111015716,"ООО ""ПРОДЮСЕРСКИЙ ЦЕНТР А.С. КОНЧАЛОВСКОГО""",19.01.2017,-,35 000 000,12.2%,287 802 711,51 287 454,181 399
282,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Мифы о Москве,https://ekinobilet.fond-kino.ru/films/detail/111004317,"ООО ""АРТ ПИКЧЕРС СТУДИЯ""",16.11.2017,25 000 000,20 000 000,0.0%,Данные не предоставлены правообладателем,50 586 859,191 067
283,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Один вдох,https://ekinobilet.fond-kino.ru/films/detail/111006120,"ООО ""КИНОКОМПАНИЯ ""ОБЩЕСТВЕННОЕ МНЕНИЕ""",05.03.2020,25 000 000,55 000 000,66.7%,120 000 000,50 577 425,198 709
284,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Как я встретил её маму,https://ekinobilet.fond-kino.ru/films/detail/111001324,"АО ""ТПО ""КИНОСТУДИЯ ИМ. М. ГОРЬКОГО""",09.05.2024,-,100 000 000,66.7%,150 000 000,50 577 289,152 517
285,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Белка и Стрелка: Карибская тайна,https://ekinobilet.fond-kino.ru/films/detail/114001020,"ООО ""КИНОАТИС""",24.09.2020,20 000 000,100 000 000,60.0%,200 000 000,50 134 456,275 772
286,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Сказ о Петре и Февронии,https://ekinobilet.fond-kino.ru/films/detail/114001517,"ФОНД ПОДДЕРЖКИ РАЗВИТИЯ ОБЩЕСТВА ""НАШИ ДЕТИ""",06.07.2017,5 000 000,25 000 000,23.6%,126 932 894,49 065 772,302 246
287,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Любовь морковь. Восстание машин,https://ekinobilet.fond-kino.ru/films/detail/111006123,"ООО ""ИНТЕРФЕСТ""",30.03.2023,30 000 000,-,21.4%,140 000 000,48 887 654,168 826
288,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Спасите Колю!,https://ekinobilet.fond-kino.ru/films/detail/111001421/111016620,"ЗАО ""МОТОР ФИЛЬМ СТУДИЯ""",18.02.2021,-,60 000 000,54.4%,110 287 819,48 411 034,176 703
289,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Формула воды,https://ekinobilet.fond-kino.ru/films/detail/114010524,"ООО ""СОЮЗМУЛЬТФИЛЬМ""",03.10.2024,-,179 838 123,41.7%,430 779 961,46 449 291,161 300
290,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Братство,https://ekinobilet.fond-kino.ru/films/detail/111006319,"ООО ""МАСТЕРСКАЯ ПАВЛА ЛУНГИНА""",10.05.2019,-,130 000 000,49.1%,264 578 774,46 407 916,184 779
291,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Коридор бессмертия,https://ekinobilet.fond-kino.ru/films/detail/111006619,"АНО ""ТВОРЧЕСКАЯ СТУДИЯ ""СТЕЛЛА""",08.05.2019,30 000 000,35 000 000,38.5%,169 000 000,45 415 515,218 955
292,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Жига,https://ekinobilet.fond-kino.ru/films/detail/111008825,"ООО ""КИНОСТУДИЯ ОЛИМП""",27.03.2025,-,70 000 000,100.0%,70 000 000,45 386 902,122 160
293,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Однажды в пустыне,https://ekinobilet.fond-kino.ru/films/detail/111000222,"ООО ""ТПО ""РОК""",17.02.2022,-,380 000 000,70.0%,543 000 000,43 760 276,160 461
294,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Овечка Долли была злая и рано умерла,https://ekinobilet.fond-kino.ru/films/detail/111015214,"ООО ""ПИМАНОВ И ПАРТНЕРЫ""",19.02.2015,-,25 000 000,35.3%,70 876 172,43 282 467,181 980
295,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Вурдалаки,https://ekinobilet.fond-kino.ru/films/detail/111019016,"ООО ""ПРОДЮСЕРСКИЙ ЦЕНТР ""ГОРАД""",22.02.2017,38 000 000,41 500 000,69.8%,113 837 339,43 197 693,179 049
296,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Испытание аулом,https://ekinobilet.fond-kino.ru/films/detail/111020223,"ООО ""КИНОСТУДИЯ ""ДОМБАЙФИЛЬМ""",24.08.2023,-,15 000 000,65.4%,22 931 700,41 427 820,169 932
297,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Кольская сверхглубокая,https://ekinobilet.fond-kino.ru/films/detail/111018220,"ООО ""ТРИОФИЛЬМ""",04.11.2020,25 000 000,50 000 000,60.0%,125 000 000,41 271 565,161 454
298,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Нахимовцы. Янтарный берег,https://ekinobilet.fond-kino.ru/films/detail/111021125,"ООО ""СТУДИЯ ""КИНОПРОБА""",02.10.2025,-,65 000 000,100.0%,65 000 000,41 220 341,146 076
299,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Чижик-Пыжик возвращается,https://ekinobilet.fond-kino.ru/films/detail/111023423,"ООО ""ПРОДЮСЕРСКИЙ ЦЕНТР КИНОСТУДИИ ИМ М.ГОРЬКОГО""",31.08.2023,-,70 000 000,70.0%,100 000 000,41 000 342,198 534
300,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Я делаю шаг (Я читаю),https://ekinobilet.fond-kino.ru/films/detail/111012123,"ООО ""ОКАПИ ПРОДАКШН""",07.09.2023,-,40 000 000,65.0%,61 554 000,40 947 048,179 520
301,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Папы,https://ekinobilet.fond-kino.ru/films/detail/111000922,"ООО ""ФРЕШ-ФИЛЬМ""",23.02.2022,-,30 000 000,23.1%,130 000 000,40 873 629,161 401
302,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Вредная привычка,https://ekinobilet.fond-kino.ru/films/detail/111036823,"ООО ""ФОРПОСТ ПРОДАКШН""",21.12.2023,-,25 000 000,27.0%,92 430 850,40 235 034,127 475
303,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Бурхан. Дух Байкала,https://ekinobilet.fond-kino.ru/films/detail/111030023,"ООО ""РВВ ФИЛМ""",19.10.2023,-,25 000 000,27.5%,90 941 769,39 360 865,167 239
304,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Богатырша,https://ekinobilet.fond-kino.ru/films/detail/114003715,"ООО ""ПРОДЮСЕРСКИЙ ЦЕНТР ""ПАРАДИЗ""",01.01.2016,15 000 000,15 000 000,48.4%,62 044 646,38 533 655,182 682
305,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Диггеры,https://ekinobilet.fond-kino.ru/films/detail/111012216,"ООО ""ПРОДЮСЕРСКИЙ ЦЕНТР ""ГОРАД""",11.08.2016,10 000 000,20 000 000,63.4%,47 328 000,37 417 799,166 797
306,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Приворот. Черное венчание,https://ekinobilet.fond-kino.ru/films/detail/111023520,"ООО ""КЬЮ ЭС ФИЛМС""",11.02.2021,-,9 000 000,14.5%,62 216 097,36 422 471,140 332
307,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Шальная Императрица (Лучшие подруги),https://ekinobilet.fond-kino.ru/films/detail/111047725,"ООО ""812""",04.12.2025,-,20 000 000,22.2%,90 000 000,36 204 910,90 618
308,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Пиноккио. Правдивая история,https://ekinobilet.fond-kino.ru/films/detail/114000222,"ООО ""ЛИЦЕНЗИОННЫЕ БРЕНДЫ""",17.02.2022,-,120 000 000,33.5%,358 158 547,35 723 062,144 164
309,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Бременские разбойники,https://ekinobilet.fond-kino.ru/films/detail/114003416,"ООО ""ЦЕНТРАЛ ПАРТНЕРШИП""",10.11.2016,5 000 000,55 000 000,50.0%,120 000 000,35 317 696,194 180
310,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Своя война: Шторм в пустыне,https://ekinobilet.fond-kino.ru/films/detail/111028421,"ООО ""КИНОКОМПАНИЯ ""СТВ""",02.06.2022,-,150 000 000,46.3%,324 100 682,33 799 503,122 716
311,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Битва,https://ekinobilet.fond-kino.ru/films/detail/111013619,"ООО ""ТПО ""РОК""",29.08.2019,28 000 000,25 000 000,66.3%,80 000 000,33 613 143,155 345
312,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Неуловимые,https://ekinobilet.fond-kino.ru/films/detail/111002715,"ООО ""ЭНДЖОЙ МУВИЗ""",26.03.2015,-,25 000 000,41.0%,61 011 407,33 580 897,144 690
313,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Культурная комедия (Ликбез),https://ekinobilet.fond-kino.ru/films/detail/111022624,"ООО ""ГОЛД СТАЙЛ ЭНТЕРТАЙНМЕНТ""",11.07.2024,-,50 000 000,50.0%,99 941 627,32 843 316,99 671
314,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Полное погружение,https://ekinobilet.fond-kino.ru/films/detail/114001120,"ООО ""ЛИЦЕНЗИОННЫЕ БРЕНДЫ""",03.12.2020,-,60 000 000,58.4%,102 800 000,32 423 146,181 231
315,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,12 месяцев. Новая сказка,https://ekinobilet.fond-kino.ru/films/detail/111014414,"ООО ""КИНОСТУДИЯ ""НИКОЛА-ФИЛЬМ""",19.02.2015,15 000 000,5 000 000,22.2%,90 120 000,31 886 465,170 948
316,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Помилование,https://ekinobilet.fond-kino.ru/films/detail/111008623,"ЗАО ""МОТОР ФИЛЬМ СТУДИЯ""",04.05.2023,-,50 000 000,45.5%,110 000 000,31 766 878,145 644
317,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Со дна вершины,https://ekinobilet.fond-kino.ru/films/detail/111012017,"ООО ПЦ ""АЛЬТАИР""",01.03.2018,-,30 000 000,37.5%,80 000 000,30 992 780,154 486
318,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Семьянин (Семья напрокат),https://ekinobilet.fond-kino.ru/films/detail/111037925,"АО ""ВБД ГРУП""",04.12.2025,-,20 000 000,10.0%,200 000 000,30 921 444,71 681
319,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Дама Пик,https://ekinobilet.fond-kino.ru/films/detail/111012416,"ООО ""МАСТЕРСКАЯ ПАВЛА ЛУНГИНА""",17.11.2016,17 000 000,133 000 000,66.3%,226 271 533,30 815 870,121 399
320,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Мой любимый чемпион (Чемпион),https://ekinobilet.fond-kino.ru/films/detail/111036623,"ООО ""ПРОДЮСЕРСКАЯ КОМПАНИЯ ""РУСЬ""",27.06.2024,-,65 000 000,69.9%,93 000 000,30 566 013,139 832
321,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Гурвинек и волшебный музей,https://ekinobilet.fond-kino.ru/films/detail/114001418,"ООО ""КИНОАТИС""",07.03.2019,30 000 000,30 000 000,15.6%,385 000 000,30 463 104,172 648
