название,дистрибьютор,дата_старта,тотал_экраны,тотал_сбор,тотал_зритель,тотал_наработка,сбор_чт,множ_чт,премьерный_уикенд_экраны,премьерный_уикенд_сбор,премьерный_уикенд_зритель,премьерный_уикенд_наработка,второй_уикенд_сбор,второй_уикенд_зритель,второй_уикенд_падение,превью_сбор,превью_дни,жанр,страна
КАНИКУЛЫ,PNR,07.11.24,42,"2,3 млн","5,5 тыс",55 тыс,,,42,680 тыс,"1,5 тыс",16 тыс,306 тыс,859,54.92,,,"комедия, драма","RUONLY, FIN"
ЛЕГЕНДЫ ВЕЧНЫХ СНЕГОВ / Хаар куйаар номохторо,SMKT,07.11.24,79,"5,5 млн",16 тыс,69 тыс,,,79,"2,8 млн","7,9 тыс",36 тыс,"1,0 млн","2,9 тыс",63.23,,,"приключения, драма, мистика",RUONLY
ФЕДЯ. НАРОДНЫЙ ФУТБОЛИСТ,NMG,31.10.24,1845,128 млн,366 тыс,69 тыс,,,1845,56 млн,159 тыс,30 тыс,26 млн,74 тыс,52.8,393 тыс,ВС - СР,"драма, спорт",RUONLY
ВОЗВРАЩЕНИЕ ПОПУГАЯ КЕШИ,CRP,31.10.24,1941,144 млн,457 тыс,74 тыс,,,1941,69 млн,222 тыс,36 тыс,29 млн,88 тыс,58.77,,,"комедия, семейный",RUONLY
ПРАВО НА ЛЕВО,RWV,31.10.24,375,"9,2 млн",22 тыс,25 тыс,,,375,"5,4 млн",12 тыс,14 тыс,891 тыс,"2,1 тыс",83.54,306 тыс,ПН - СР,комедия,RUONLY
ВЕЧНАЯ ЗИМА,CP,31.10.24,393,"8,6 млн",23 тыс,22 тыс,,,393,"4,3 млн",11 тыс,11 тыс,"1,2 млн","3,5 тыс",71.08,251 тыс,ВС - СР,драма,RUONLY
ЮРКА,CS,31.10.24,9,84 тыс,213,"9,4 тыс",,,9,84 тыс,213,"9,4 тыс",,,,,,криминал,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 175. ОСЕННИЕ ПРИКЛЮЧЕНИЯ,MVK,31.10.24,520,"5,4 млн",36 тыс,10 тыс,,,366,"1,0 млн","6,6 тыс","2,9 тыс","1,3 млн","7,9 тыс",-20.93,,,анимация,RUONLY
ВЕРНЫЕ,SMKT,31.10.24,52,"4,1 млн",14 тыс,78 тыс,,,8,165 тыс,533,21 тыс,"1,1 млн","3,4 тыс",-566.96,,,документальный,RUONLY
ВСТРЕТИМСЯ ВЧЕРА,AK,24.10.24,1188,19 млн,52 тыс,16 тыс,,,1188,11 млн,27 тыс,"8,9 тыс","2,4 млн","7,7 тыс",77.15,,,комедия,RUONLY
ОГНИВО,CP,24.10.24,2182,"1,2 млрд","3,7 млн",551 тыс,,,2083,275 млн,817 тыс,132 тыс,287 млн,866 тыс,-4.29,"1,5 млн",ПН - СР,"приключения, фэнтези",RUONLY
ПРИШЕЛЕЦ,K24,24.10.24,57,"2,0 млн","6,0 тыс",34 тыс,,,57,688 тыс,"1,8 тыс",12 тыс,194 тыс,642,71.71,,,драма,RUONLY
ЕЖИК В ТУМАНЕ И СКАЗКА СКАЗОК,KAP,17.10.24,301,"6,5 млн",17 тыс,22 тыс,,,301,"1,9 млн","5,3 тыс","6,2 тыс","1,1 млн","2,8 тыс",43.05,,,анимация,RUONLY
КОРЕША,NMG,17.10.24,1680,27 млн,78 тыс,16 тыс,,,1680,15 млн,41 тыс,"9,2 тыс","4,9 млн",14 тыс,68.45,,,"экшн, комедия",RUONLY
ПРО МОЮ МАМУ И ПРО МЕНЯ,CRP,17.10.24,405,"3,4 млн",14 тыс,"8,4 тыс",,,405,"1,3 млн","4,1 тыс","3,2 тыс",571 тыс,"2,5 тыс",55.86,,,"комедия, мелодрама",RUONLY
СХВАТКА,RFLF,17.10.24,41,168 тыс,428,"4,1 тыс",,,41,92 тыс,214,"2,2 тыс",,,,,,боевик,RUONLY
ЛЕРМОНТОВ. ПЕРЕВЫПУСК,KNT,17.10.24,95,"7,0 млн",36 тыс,74 тыс,,,95,889 тыс,"4,6 тыс","9,4 тыс",699 тыс,"3,5 тыс",21.34,,,биография,RUONLY
БУНИНЪ,SMKT,17.10.24,7,279 тыс,"1,0 тыс",40 тыс,,,7,35 тыс,141,"5,0 тыс",,,,,,документальный,RUONLY
МАМИНО ПИСЬМО,BSD,17.10.24,36,"2,4 млн","10,0 тыс",67 тыс,,,36,340 тыс,928,"9,4 тыс",244 тыс,856,28.33,,,"документальный, драма",RUONLY
ТРИУМФ,SMKT,17.10.24,84,31 млн,86 тыс,372 тыс,,,84,12 млн,32 тыс,145 тыс,"5,6 млн",15 тыс,53.78,,,"драма, спорт",RUONLY
ПАССАЖИРЫ,RFGD,17.10.24,33,"1,4 млн","4,4 тыс",44 тыс,,,33,569 тыс,"1,6 тыс",17 тыс,390 тыс,"1,2 тыс",31.47,,,"триллер, боевик",RUONLY
МАЛЫШАРИКИ. ДЕНЬ РОЖДЕНИЯ,NMG,10.10.24,1959,32 млн,115 тыс,16 тыс,,,1959,17 млн,58 тыс,"8,8 тыс","7,9 млн",30 тыс,54.65,,,"анимация, семейный",RUONLY
РУКИ ВВЕРХ!,CP,10.10.24,2004,992 млн,"2,6 млн",495 тыс,,,2004,229 млн,574 тыс,114 тыс,189 млн,489 тыс,17.65,914 тыс,ПН - СР,музыка,RUONLY
БИТВА ПАП,AK,10.10.24,1447,38 млн,114 тыс,26 тыс,,,1245,18 млн,49 тыс,14 тыс,"9,7 млн",31 тыс,46.5,,,комедия,RUONLY
"СТОП, НОЧЬ",SMKT,10.10.24,10,50 тыс,139,"5,0 тыс",,,10,26 тыс,59,"2,6 тыс",,,,,,музыка,RUONLY
ГОВОРИТ ЗЕМЛЯ!,CRP,03.10.24,1152,15 млн,43 тыс,13 тыс,,,1152,"8,2 млн",22 тыс,"7,2 тыс","2,4 млн","7,4 тыс",71.36,,,комедия,RUONLY
ФОРМУЛА ВОДЫ,AK,03.10.24,1930,49 млн,167 тыс,25 тыс,,,1930,25 млн,77 тыс,13 тыс,12 млн,43 тыс,50.57,,,анимация,RUONLY
ВАСИЛИСА И ХРАНИТЕЛИ ВРЕМЕНИ,NKI,03.10.24,2185,186 млн,583 тыс,85 тыс,,,2174,65 млн,186 тыс,30 тыс,45 млн,137 тыс,30.46,175 тыс,ПН - СР,"приключения, фэнтези",RUONLY
ОСОБЕННОСТИ НАЦИОНАЛЬНОЙ БОЛЬНИЦЫ,NMG,03.10.24,801,"5,9 млн",16 тыс,"7,3 тыс",,,801,"3,7 млн","9,6 тыс","4,6 тыс",681 тыс,"2,1 тыс",81.7,60 тыс,ПН - СР,"комедия, драма",RUONLY
ХУЖЕ ВСЕХ,ABK,03.10.24,164,"1,4 млн","4,0 тыс","8,4 тыс",,,164,780 тыс,"2,1 тыс","4,8 тыс",,,,,,"комедия, драма",RUONLY
КОРОЛЕВСТВО,K24,03.10.24,14,468 тыс,"1,1 тыс",33 тыс,,,14,91 тыс,226,"6,5 тыс",,,,,,драма,RUONLY
ЗОЛУШКА,KAP,03.10.24,35,"2,4 млн","6,9 тыс",70 тыс,,,29,334 тыс,"1,3 тыс",12 тыс,324 тыс,846,2.95,,,опера/балет,RUONLY
МУЛЬТ В КИНО. ВЫПУСК №174. ДОБРЫЕ ДЕЛА!,MVK,03.10.24,530,"3,7 млн",26 тыс,"6,9 тыс",,,384,"1,0 млн","6,6 тыс","2,7 тыс",730 тыс,"5,0 тыс",28.41,,,анимация,RUONLY
МЕЛЬНИКОВ,CDK,03.10.24,11,"1,1 млн","3,2 тыс",101 тыс,,,11,307 тыс,725,28 тыс,,,,,,документальный,RUONLY
КРЕСТ,KAP,26.09.24,414,"9,8 млн",31 тыс,24 тыс,,,414,"3,7 млн",12 тыс,"8,9 тыс","1,3 млн","3,8 тыс",64.09,,,документальный,RUONLY
9 СЕКУНД,CRP,26.09.24,1503,71 млн,251 тыс,48 тыс,,,1503,21 млн,67 тыс,14 тыс,14 млн,49 тыс,32.29,,,драма,RUONLY
МУЖСКОЕ СЛОВО,AK,26.09.24,1487,24 млн,64 тыс,16 тыс,,,1487,12 млн,30 тыс,"8,2 тыс","4,8 млн",13 тыс,60.65,,,"криминал, драма",RUONLY
БЕЛЯКОВЫ В ОТПУСКЕ,CP,26.09.24,1596,243 млн,664 тыс,152 тыс,,,1596,68 млн,174 тыс,43 тыс,57 млн,151 тыс,16.15,,,комедия,RUONLY
ПОСЛЕДНИЙ БОГАТЫРЬ. НАСЛЕДИЕ (1-2 СЕРИИ),CIPA,26.09.24,70,63 млн,134 тыс,905 тыс,,,70,"8,6 млн",18 тыс,124 тыс,"8,6 млн",18 тыс,0.03,,,фэнтези,RUONLY
ЧУМА,KNLG,19.09.24,110,"6,5 млн",18 тыс,59 тыс,,,110,"3,1 млн","8,3 тыс",28 тыс,945 тыс,"2,6 тыс",69.14,,,драма,RUONLY
МАМЕ СНОВА 17,NMG,19.09.24,1705,53 млн,157 тыс,31 тыс,,,1705,27 млн,74 тыс,16 тыс,11 млн,34 тыс,57.23,160 тыс,ПН - СР,комедия,RUONLY
ЛЮБОВЬ ЗЛА,AK,12.09.24,1965,39 млн,110 тыс,20 тыс,,,1965,21 млн,53 тыс,11 тыс,"7,2 млн",21 тыс,65.3,,,комедия,RUONLY
ВЕРА,GORK/AK,12.09.24,176,"1,1 млн","3,2 тыс","6,4 тыс",,,176,676 тыс,"1,6 тыс","3,8 тыс",147 тыс,487,78.33,,,драма,RUONLY
МЕЖДУ НАМИ,CIPA,12.09.24,116,668 тыс,"2,0 тыс","5,8 тыс",,,116,668 тыс,"2,0 тыс","5,8 тыс",,,,,,"комедия, семейный, мелодрама, мистика",RUONLY
110,VLG,12.09.24,14,146 тыс,414,10 тыс,,,14,58 тыс,151,"4,1 тыс",,,,,,драма,RUONLY
ОБЕ ДВЕ,CRP,05.09.24,1684,53 млн,165 тыс,31 тыс,,,1684,27 млн,78 тыс,16 тыс,11 млн,33 тыс,59.96,,,комедия,RUONLY
СМОТРИ НА МЕНЯ!,CP,05.09.24,576,"6,1 млн",20 тыс,11 тыс,,,576,"3,3 млн","9,8 тыс","5,8 тыс","1,2 млн","4,1 тыс",65.25,,,"драма, семейный",RUONLY
ЛГУНЬЯ,KAP,05.09.24,99,"1,1 млн","3,8 тыс",11 тыс,,,99,411 тыс,"1,1 тыс","4,2 тыс",,,,,,"комедия, драма",RUONLY
МУХАДРАКОН,KNT,05.09.24,332,"2,3 млн",12 тыс,"6,9 тыс",,,332,"1,3 млн","6,3 тыс","3,8 тыс",377 тыс,"1,9 тыс",70.19,,,приключения,RUONLY
СЕЛЕБРЯТА,CS,05.09.24,207,"1,3 млн","5,6 тыс","6,2 тыс",,,207,637 тыс,"2,9 тыс","3,1 тыс",,,,,,"приключения, семейный",RUONLY
ЗАТЕРЯННЫЕ,NMG,05.09.24,411,14 млн,41 тыс,35 тыс,,,411,"6,3 млн",16 тыс,15 тыс,"2,6 млн","7,3 тыс",58.44,159 тыс,ПН - СР,"триллер, мистика",RUONLY
ЛАПИН,VLG,05.09.24,10,80 тыс,196,"8,0 тыс",,,10,54 тыс,121,"5,4 тыс",,,,,,драма,RUONLY
МУЛЬТ В КИНО. ВЫПУСК №173,MVK,05.09.24,506,"2,5 млн",18 тыс,"4,9 тыс",,,348,589 тыс,"3,9 тыс","1,7 тыс",572 тыс,"3,9 тыс",2.8,,,анимация,RUONLY
ПОДРОСТКИ: ПЕРВАЯ ЛЮБОВЬ,NMG,29.08.24,1672,16 млн,52 тыс,"9,5 тыс",,,1672,"8,6 млн",26 тыс,"5,2 тыс","2,7 млн","9,2 тыс",69.05,79 тыс,ВС - СР,"мюзикл, мелодрама",RUONLY
ЛУНТИК. ВОЗВРАЩЕНИЕ ДОМОЙ,VLG,29.08.24,2232,537 млн,"1,8 млн",240 тыс,,,2216,113 млн,399 тыс,51 тыс,84 млн,276 тыс,25.97,462 тыс,ПН - СР,анимация,RUONLY
ТАЙНА ЧЕРНОЙ РУКИ,CP,29.08.24,625,13 млн,50 тыс,21 тыс,,,625,"5,6 млн",18 тыс,"8,9 тыс","3,4 млн",15 тыс,38.84,,,"комедия, приключения, семейный",RUONLY
ПИРАТЫ ГАЛАКТИКИ БАРРАКУДА,CRP,22.08.24,1767,64 млн,241 тыс,36 тыс,,,1767,22 млн,70 тыс,12 тыс,12 млн,42 тыс,43.5,,,"фантастика, приключения",RUONLY
ВЫБЕРИ МЕНЯ,NMG,15.08.24,1496,20 млн,63 тыс,13 тыс,,,1496,10 млн,29 тыс,"6,8 тыс","3,1 млн","9,8 тыс",69.86,,,комедия,RUONLY
МОЙ ДИКИЙ ДРУГ,NKI,08.08.24,1944,89 млн,345 тыс,46 тыс,,,1930,28 млн,98 тыс,14 тыс,19 млн,68 тыс,33.64,,,приключения,RUONLY
ЯЧЕЙКА ОБЩЕСТВА,MCM,08.08.24,52,299 тыс,765,"5,7 тыс",,,52,140 тыс,317,"2,7 тыс",,,,,,драма,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 172. ПУТЕШЕСТВУЕМ ВМЕСТЕ!,MVK,08.08.24,388,"3,1 млн",22 тыс,"8,1 тыс",,,376,866 тыс,"5,4 тыс","2,3 тыс",805 тыс,"5,5 тыс",7.04,,,анимация,RUONLY
ТОПОЛИНЫЙ ПУХ,CP,01.08.24,1424,62 млн,188 тыс,44 тыс,,,1424,29 млн,77 тыс,20 тыс,11 млн,33 тыс,61.37,,,комедия,RUONLY
ВЫПУСТИ МЕНЯ,NKI,01.08.24,411,"5,3 млн",16 тыс,13 тыс,,,411,"2,5 млн","7,0 тыс","6,1 тыс",803 тыс,"2,4 тыс",67.75,,,"триллер, мистика",RUONLY
В ПОТОКЕ ТРЕХ СТИХИЙ,NKI,25.07.24,1821,16 млн,58 тыс,"8,8 тыс",,,1821,"8,0 млн",26 тыс,"4,4 тыс","2,7 млн",11 тыс,66.18,,,"драма, спорт",RUONLY
"«ЮНОСТЬ» - ЖУРНАЛ, УСТРЕМЛЕННЫЙ В БУДУЩЕЕ",KNT,25.07.24,5,21 тыс,82,"4,2 тыс",,,5,"5,2 тыс",14,"1,0 тыс",,,,,,документальный,RUONLY
ОНА ТАНЦУЕТ,RFLF,25.07.24,193,"1,1 млн","4,1 тыс","5,5 тыс",,,1,102 тыс,171,102 тыс,361 тыс,"1,4 тыс",-253.4,,,мелодрама,RUONLY
ВОДИТЕЛЬ-ОЛИГАРХ,AK,18.07.24,2035,327 млн,932 тыс,160 тыс,,,2030,76 млн,199 тыс,37 тыс,54 млн,147 тыс,28.66,,,комедия,RUONLY
БОЛЬШОЕ ПУТЕШЕСТВИЕ. ВОКРУГ СВЕТА,NKI,11.07.24,2157,64 млн,262 тыс,29 тыс,,,2146,21 млн,79 тыс,"9,8 тыс",13 млн,51 тыс,37.75,236 тыс,ПН - СР,анимация,RUONLY
КУЛЬТУРНАЯ КОМЕДИЯ,CP,11.07.24,1131,33 млн,100 тыс,29 тыс,,,1131,17 млн,45 тыс,15 тыс,"4,8 млн",15 тыс,71.13,,,комедия,RUONLY
НЕ ОДНА ДОМА,AK,11.07.24,1729,219 млн,788 тыс,127 тыс,,,1670,42 млн,140 тыс,25 тыс,33 млн,110 тыс,23.18,"1,6 млн",ПН - СР,комедия,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 171,MVK,11.07.24,504,"2,6 млн",19 тыс,"5,2 тыс",,,341,491 тыс,"3,1 тыс","1,4 тыс",573 тыс,"4,1 тыс",-16.78,,,анимация,RUONLY
САМАЯ БОЛЬШАЯ ЛУНА,AK,04.07.24,1954,26 млн,77 тыс,13 тыс,,,1954,13 млн,36 тыс,"6,7 тыс","4,0 млн",12 тыс,69.25,,,фэнтези,RUONLY
КОНТАКТЫ,PNR,04.07.24,52,918 тыс,"2,2 тыс",18 тыс,,,52,290 тыс,738,"5,6 тыс",,,,,,"фантастика, драма",RUONLY
МОЙ ЛЮБИМЫЙ ЧЕМПИОН,NKI,27.06.24,1848,30 млн,115 тыс,16 тыс,,,1848,12 млн,40 тыс,"6,3 тыс","6,0 млн",24 тыс,48.21,,,"приключения, семейный",RUONLY
БЫВШИЙ В ПОМОЩЬ,CRP,27.06.24,1536,46 млн,137 тыс,30 тыс,,,1536,18 млн,48 тыс,12 тыс,"9,3 млн",27 тыс,47.92,,,комедия,RUONLY
ТУР С ИВАНУШКАМИ,AK,20.06.24,2098,114 млн,341 тыс,54 тыс,,,2087,48 млн,132 тыс,23 тыс,19 млн,54 тыс,60.86,,,комедия,RUONLY
СЕМЕЙНЫЙ ПЕРЕПОЛОХ,CP,20.06.24,1044,16 млн,58 тыс,15 тыс,,,1044,"7,0 млн",23 тыс,"6,7 тыс","2,4 млн","9,1 тыс",65.15,,,комедия,RUONLY
ТРИ БОГАТЫРЯ. НИ ДНЯ БЕЗ ПОДВИГА,VLG,20.06.24,2228,286 млн,"1,1 млн",129 тыс,,,2228,63 млн,225 тыс,28 тыс,39 млн,143 тыс,37.62,,,анимация,RUONLY
Я - СЕРГЕЙ ОБРАЗЦОВ,KAP,20.06.24,46,"2,8 млн","5,6 тыс",62 тыс,,,46,906 тыс,"1,9 тыс",20 тыс,245 тыс,446,72.94,,,спектакль,RUONLY
ЗАКЛЯТЬЕ. ШЕПОТ ВЕДЬМ,NMG,13.06.24,526,29 млн,90 тыс,55 тыс,,,526,"9,8 млн",27 тыс,19 тыс,"6,5 млн",20 тыс,33.35,,,"ужасы, триллер",RUONLY
БАР «МОСКВАЧИКИ»,CP,13.06.24,786,27 млн,75 тыс,35 тыс,,,786,11 млн,28 тыс,14 тыс,"4,0 млн",11 тыс,63.78,,,комедия,RUONLY
ХОЗЯИН АЛТАЙСКИХ ГОР,RR,13.06.24,349,"2,4 млн",12 тыс,"6,9 тыс",,,349,"1,0 млн","3,9 тыс","2,9 тыс",377 тыс,"1,8 тыс",62.36,,,документальный,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 170,MVK,13.06.24,337,"2,2 млн",16 тыс,"6,5 тыс",,,337,456 тыс,"3,1 тыс","1,4 тыс",492 тыс,"3,3 тыс",-7.86,,,анимация,RUONLY
НЕПОСЛУШНИКИ,CRP,06.06.24,1997,218 млн,674 тыс,109 тыс,,,1997,58 млн,165 тыс,29 тыс,41 млн,123 тыс,28.02,,,комедия,RUONLY
ПУШКИН И... МИХАЙЛОВСКОЕ. НАЧАЛО,KNT,06.06.24,327,"1,6 млн",10 тыс,"5,0 тыс",,,327,835 тыс,"5,4 тыс","2,6 тыс",215 тыс,"1,5 тыс",74.29,,,анимация,RUONLY
СКАЗОЧНЫЙ ПАТРУЛЬ. ШОУ ПРОДОЛЖАЕТСЯ,NMG,06.06.24,1639,40 млн,168 тыс,24 тыс,,,1639,17 млн,69 тыс,11 тыс,"7,2 млн",31 тыс,58.39,,,анимация,RUONLY
МАНЮНЯ: ПРИКЛЮЧЕНИЯ В МОСКВЕ,NMG,30.05.24,2060,289 млн,"1,1 млн",140 тыс,,,2060,99 млн,354 тыс,48 тыс,53 млн,199 тыс,46.38,,,"комедия, приключения",RUONLY
МАЙОР ГРОМ: ИГРА,CP,23.05.24,1882,588 млн,"1,5 млн",312 тыс,,,1882,169 млн,413 тыс,90 тыс,88 млн,221 тыс,47.56,212 тыс,ПН - СР,"экшн, приключения",RUONLY
НЕЛЮБИМКА,CDK,23.05.24,17,266 тыс,835,16 тыс,,,17,10 тыс,33,603,,,,,,"документальный, драма",RUONLY
АИДА / Aida,COOL,23.05.24,77,"1,2 млн","2,6 тыс",16 тыс,,,77,385 тыс,764,"5,0 тыс",,,,,,опера/балет,RUONLY
"7 ДНЕЙ, 7 НОЧЕЙ",NMG,16.05.24,1390,22 млн,76 тыс,16 тыс,,,1390,"8,7 млн",26 тыс,"6,3 тыс","5,2 млн",18 тыс,40.37,,,комедия,RUONLY
КАЖДЫЙ МЕЧТАЕТ О СОБАКЕ,NKI,16.05.24,1696,19 млн,90 тыс,11 тыс,,,1696,"5,2 млн",19 тыс,"3,0 тыс","5,9 млн",29 тыс,-15.17,,,"приключения, семейный",RUONLY
ОГНЕННЫЙ ЛИС,CRP,16.05.24,1609,97 млн,404 тыс,60 тыс,,,1609,18 млн,57 тыс,11 тыс,24 млн,92 тыс,-34.78,,,семейный,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 169. ЛЕТО - ПОРА МУЛЬТИКОВ,MVK,16.05.24,505,"2,3 млн",17 тыс,"4,6 тыс",,,366,597 тыс,"3,8 тыс","1,6 тыс",491 тыс,"3,3 тыс",17.69,,,анимация,RUONLY
КАК Я ВСТРЕТИЛ ЕЕ МАМУ,GORK/AK,09.05.24,1833,51 млн,154 тыс,28 тыс,,,1833,34 млн,96 тыс,18 тыс,"6,8 млн",21 тыс,79.69,,,комедия,RUONLY
СЕМЬ ЧЕРНЫХ БУМАГ,NMG,09.05.24,220,"7,5 млн",21 тыс,34 тыс,,,220,"2,6 млн","7,2 тыс",12 тыс,"1,4 млн","4,1 тыс",47.86,,,драма,RUONLY
КРАСНЫЕ ЛЕНТЫ,SBF,09.05.24,219,"2,2 млн",16 тыс,10 тыс,,,219,919 тыс,"3,3 тыс","4,2 тыс",,,,,,"драма, военный",RUONLY
ЛЮБВИ НЕ БЫВАЕТ?,VLG,02.05.24,1746,46 млн,131 тыс,26 тыс,,,1746,15 млн,41 тыс,"8,9 тыс",14 млн,37 тыс,11.69,"4,1 млн",ПН - СР,комедия,RUONLY
БЛИНДАЖ,CRP,25.04.24,1915,108 млн,333 тыс,56 тыс,,,1915,26 млн,78 тыс,14 тыс,17 млн,53 тыс,35.04,,,"экшн, военный",RUONLY
НЕПРИЛИЧНЫЕ ГОСТИ,AK,25.04.24,1152,82 млн,218 тыс,71 тыс,,,1138,23 млн,61 тыс,21 тыс,14 млн,37 тыс,40.49,,,комедия,RUONLY
ПОЧЕМУ ТЫ?,NKI,25.04.24,931,27 млн,68 тыс,28 тыс,,,931,"9,8 млн",24 тыс,11 тыс,"4,4 млн",12 тыс,54.68,,,мелодрама,RUONLY
СУВОРОВЕЦ 1944,LC,25.04.24,394,17 млн,95 тыс,42 тыс,,,394,"2,4 млн",13 тыс,"6,1 тыс","2,4 млн","9,9 тыс",0.41,,,"приключения, семейный, военный",RUONLY
БРИЛЛИАНТОВАЯ РУКА. ПЕРЕВЫПУСК,MVK,25.04.24,50,207 тыс,783,"4,1 тыс",,,28,70 тыс,284,"2,5 тыс",,,,,,комедия,RUONLY
"ТАМ, ГДЕ ТАНЦУЮТ СТЕРХИ",SMKT,25.04.24,50,27 млн,88 тыс,549 тыс,,,50,"6,8 млн",21 тыс,135 тыс,"4,5 млн",14 тыс,33.81,,,драма,RUONLY
СТО ЛЕТ ТОМУ ВПЕРЕД,CP,18.04.24,2265,"1,6 млрд","4,4 млн",687 тыс,,,2136,317 млн,840 тыс,148 тыс,176 млн,488 тыс,44.35,,,"экшн, фантастика, приключения",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 168. ИДЕМ НА ПИКНИК,MVK,18.04.24,540,"2,9 млн",20 тыс,"5,4 тыс",,,377,750 тыс,"4,8 тыс","2,0 тыс",,,,,,анимация,RUONLY
ОТРАЖЕНИЕ ТЬМЫ,NMG,11.04.24,641,15 млн,45 тыс,23 тыс,,,641,"7,8 млн",22 тыс,12 тыс,"3,7 млн",11 тыс,53.04,,,"драма, ужасы, триллер",RUONLY
ТУМАН,BSD,11.04.24,95,650 тыс,"2,4 тыс","6,8 тыс",,,95,305 тыс,924,"3,2 тыс",,,,,,триллер,RUONLY
КОРСАР / Le Corsaire,KAP,11.04.24,35,"1,2 млн","2,5 тыс",33 тыс,,,35,363 тыс,892,10 тыс,,,,,,концерт,RUONLY
ЗА ПРЕДЕЛАМИ,CIPA,11.04.24,26,"2,4 млн","5,4 тыс",93 тыс,,,26,187 тыс,417,"7,2 тыс",,,,,,"документальный, спорт",RUONLY
КАРИНА,SMKT,11.04.24,86,53 млн,164 тыс,613 тыс,,,31,13 млн,39 тыс,416 тыс,13 млн,41 тыс,-0.06,,,"биография, детектив",RUONLY
ЗОЛОТО УМАЛЬТЫ,CRP,04.04.24,1774,54 млн,164 тыс,31 тыс,,,1774,30 млн,85 тыс,17 тыс,"9,9 млн",31 тыс,67.36,,,"приключения, вестерн",RUONLY
ДОМОВОЙ,NKI,04.04.24,1329,34 млн,106 тыс,25 тыс,,,1329,17 млн,50 тыс,13 тыс,"7,0 млн",22 тыс,59.42,,,ужасы,RUONLY
НА КРАЮ СВЕТА. КАМЧАТКА,CIPA,04.04.24,29,770 тыс,"1,7 тыс",27 тыс,,,29,519 тыс,"1,0 тыс",18 тыс,,,,,,"документальный, спорт",RUONLY
НЕНОРМАЛЬНЫЙ,CP,28.03.24,1872,78 млн,257 тыс,42 тыс,,,1872,42 млн,129 тыс,22 тыс,15 млн,48 тыс,64.23,,,"комедия, драма",RUONLY
СКАЗКИ ГОФМАНА,NMG,28.03.24,617,"6,7 млн",21 тыс,11 тыс,,,617,"3,4 млн",10 тыс,"5,5 тыс","1,3 млн","4,3 тыс",60.31,273 тыс,ПН - СР,"комедия, драма",RUONLY
ЖЕНИТЬБА ФИГАРО,KAP,28.03.24,45,"3,9 млн","7,8 тыс",87 тыс,,,45,757 тыс,"1,6 тыс",17 тыс,230 тыс,438,69.63,,,спектакль,RUONLY
ЛЕТУЧИЙ КОРАБЛЬ,NKI,21.03.24,2468,"1,2 млрд","3,8 млн",467 тыс,,,2446,240 млн,779 тыс,98 тыс,261 млн,848 тыс,-8.68,,,сказка,RUONLY
ЛЕТО. НУЛЕВЫЕ,RWV,21.03.24,201,962 тыс,"3,2 тыс","4,8 тыс",,,198,429 тыс,"1,5 тыс","2,2 тыс",,,,,,мелодрама,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 167. ФОКУС-ПОКУС,MVK,21.03.24,590,"2,0 млн",14 тыс,"3,4 тыс",,,227,230 тыс,"1,5 тыс","1,0 тыс",599 тыс,"4,1 тыс",-160.26,,,анимация,RUONLY
ПОЗЫВНОЙ «ПАССАЖИР»,AK,14.03.24,2077,132 млн,432 тыс,63 тыс,,,2073,57 млн,173 тыс,28 тыс,21 млн,68 тыс,62.67,,,драма,RUONLY
ФРАУ,PNR,14.03.24,198,"8,0 млн",19 тыс,40 тыс,,,198,"4,2 млн","8,5 тыс",21 тыс,492 тыс,"1,5 тыс",88.17,,,"комедия, драма",RUONLY
ОНЕГИН,AK,07.03.24,2326,809 млн,"2,2 млн",348 тыс,,,2256,337 млн,853 тыс,149 тыс,172 млн,474 тыс,49.03,,,мелодрама,RUONLY
ЛЮБОВЬ СО ВТОРОГО ВЗГЛЯДА,NMG,07.03.24,1730,61 млн,180 тыс,35 тыс,,,1730,42 млн,117 тыс,24 тыс,"9,2 млн",28 тыс,78.13,,,"комедия, мелодрама","RUONLY, KZ"
АДАМ И ЕВА,CP,07.03.24,1735,163 млн,490 тыс,94 тыс,,,1735,89 млн,252 тыс,51 тыс,36 млн,111 тыс,59.44,,,"комедия, мелодрама",RUONLY
РОМАН КОСТОМАРОВ. РОЖДЕННЫЙ ДВАЖДЫ,NMG,07.03.24,351,830 тыс,"2,9 тыс","2,4 тыс",,,351,437 тыс,"1,3 тыс","1,2 тыс",,,,,,"биография, спорт",RUONLY
В АРКТИКУ,KAP,29.02.24,449,22 млн,78 тыс,48 тыс,,,449,"5,9 млн",18 тыс,13 тыс,"4,5 млн",13 тыс,23.92,,,документальный,RUONLY
АКВАРИУМ,PIFD,29.02.24,47,505 тыс,960,11 тыс,,,47,180 тыс,400,"3,8 тыс",,,,,,драма,RUONLY
