название,дистрибьютор,дата_старта,тотал_экраны,тотал_сбор,тотал_зритель,тотал_наработка,сбор_чт,множ_чт,премьерный_уикенд_экраны,премьерный_уикенд_сбор,премьерный_уикенд_зритель,премьерный_уикенд_наработка,второй_уикенд_сбор,второй_уикенд_зритель,второй_уикенд_падение,превью_сбор,превью_дни,жанр,страна
ЧЕРНАЯ ВОДА,CP,13.07.17,758,17 млн,77 тыс,22 тыс,,,755,"8,6 млн",35 тыс,11 тыс,"2,0 млн",10 тыс,76.61,,,"драма, ужасы",RUONLY
СКАЗ О ПЕТРЕ И ФЕВРОНИИ,CRP,06.07.17,1038,49 млн,292 тыс,47 тыс,"3,2 млн",0.14,1029,23 млн,122 тыс,22 тыс,"9,3 млн",55 тыс,59.63,,,анимация,RUONLY
ТЕНЬ,CNDOC,06.07.17,30,322 тыс,"1,7 тыс",11 тыс,,,30,117 тыс,566,"3,9 тыс",44 тыс,242,62.61,,,драма,RUONLY
ХОЛОДНОЕ ТАНГО,WDSSPR,22.06.17,475,24 млн,99 тыс,51 тыс,"1,8 млн",0.17,475,10 млн,39 тыс,22 тыс,"4,7 млн",18 тыс,54.56,,,"исторический, мелодрама, военный",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 55,MVK,22.06.17,524,"6,2 млн",58 тыс,12 тыс,,,524,"1,8 млн",15 тыс,"3,4 тыс","1,1 млн",11 тыс,37.1,,,анимация,RUONLY
"Я ЛЮБИТЬ ТЕБЯ БУДУ, МОЖНО?",AKM,15.06.17,41,289 тыс,"1,3 тыс","7,1 тыс",,,25,70 тыс,480,"2,8 тыс",,,,,,драма,RUONLY
АННА КАРЕНИНА. ИСТОРИЯ ВРОНСКОГО,CP,08.06.17,663,17 млн,72 тыс,26 тыс,,,663,"7,7 млн",29 тыс,12 тыс,"2,7 млн",11 тыс,65.46,,,драма,RUONLY
МАША И МЕДВЕДЬ: НОВЫЕ ИСТОРИИ,KND,08.06.17,27,940 тыс,11 тыс,35 тыс,,,27,102 тыс,"1,0 тыс","3,8 тыс",,,,,,анимация,RUONLY
НЕЛЮБОВЬ,WDSSPR,01.06.17,493,98 млн,350 тыс,198 тыс,"5,8 млн",0.18,493,32 млн,106 тыс,65 тыс,17 млн,56 тыс,46.27,,,драма,"RUONLY, DE, FR, BEL"
МУЛЬТ В КИНО. ВЫПУСК № 54,MVK,25.05.17,527,"7,9 млн",73 тыс,15 тыс,,,527,"1,8 млн",15 тыс,"3,4 тыс","2,0 млн",18 тыс,-11.97,,,анимация,RUONLY
ТАНЦОВЩИК / Dancer,PNR,18.05.17,27,"5,4 млн",19 тыс,199 тыс,,,27,"1,3 млн","4,0 тыс",48 тыс,859 тыс,"2,7 тыс",34.01,,,"документальный, биография","UA, US, RUONLY, UK"
ПТИЦА,LNF,18.05.17,45,608 тыс,"3,1 тыс",14 тыс,,,45,205 тыс,950,"4,6 тыс",80 тыс,375,60.75,,,"мелодрама, музыка",RUONLY
БОЛЬШОЙ,WDSSPR,11.05.17,825,234 млн,991 тыс,284 тыс,"8,7 млн",0.1,825,86 млн,326 тыс,104 тыс,52 млн,206 тыс,38.84,,,драма,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 53,MVK,11.05.17,490,"3,7 млн",31 тыс,"7,6 тыс",,,490,"2,2 млн",18 тыс,"4,5 тыс","1,3 млн",11 тыс,40.73,,,анимация,RUONLY
ПРО СТЕПАНА-КУЗНЕЦА,KND,04.05.17,3,62 тыс,701,21 тыс,,,3,"2,6 тыс",26,870,,,,,,анимация,RUONLY
ТРИ ДНЯ ДО ВЕСНЫ,LNF,04.05.17,300,"8,7 млн",38 тыс,29 тыс,,,300,"2,6 млн",13 тыс,"8,8 тыс",356 тыс,"2,3 тыс",86.52,,,"драма, военный, детектив",RUONLY
СПАСТИ ПУШКИНА,CRP,27.04.17,467,"6,0 млн",30 тыс,13 тыс,,,467,"2,6 млн",12 тыс,"5,6 тыс","1,4 млн","7,0 тыс",45.17,,,комедия,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 52,MVK,27.04.17,374,"4,5 млн",37 тыс,12 тыс,,,374,"1,6 млн",12 тыс,"4,2 тыс","1,3 млн",11 тыс,13.44,,,анимация,RUONLY
УРФИН ДЖЮС И ЕГО ДЕРЕВЯННЫЕ СОЛДАТЫ,NKI,20.04.17,1478,217 млн,"1,1 млн",147 тыс,"5,0 млн",0.05,1478,101 млн,463 тыс,68 тыс,41 млн,200 тыс,59.9,,,анимация,RUONLY
КУХНЯ. ПОСЛЕДНЯЯ БИТВА,CP,20.04.17,1223,368 млн,"1,5 млн",301 тыс,,,1223,162 млн,625 тыс,132 тыс,72 млн,290 тыс,55.37,,,комедия,RUONLY
БАРБАДОЖКИНЫ ИСТОРИИ,AKM,13.04.17,6,66 тыс,302,11 тыс,,,6,12 тыс,57,"2,0 тыс",,,,,,анимация,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 51,MVK,13.04.17,473,"4,1 млн",34 тыс,"8,6 тыс",,,473,"1,9 млн",15 тыс,"4,0 тыс","1,8 млн",15 тыс,2.23,,,анимация,RUONLY
ЯНА + ЯНКО,25FFC,13.04.17,80,"1,8 млн","9,4 тыс",23 тыс,,,80,947 тыс,"3,2 тыс",12 тыс,335 тыс,"1,3 тыс",64.61,,,комедия,RUONLY
ИЗ УФЫ С ЛЮБОВЬЮ!,SMKT,13.04.17,30,"5,3 млн",30 тыс,176 тыс,,,10,245 тыс,"1,4 тыс",24 тыс,432 тыс,"2,3 тыс",-76.85,,,комедия,RUONLY
ВРЕМЯ ПЕРВЫХ,FOX/BZL,06.04.17,1415,563 млн,"2,4 млн",398 тыс,14 млн,0.09,1415,151 млн,549 тыс,107 тыс,128 млн,511 тыс,15.57,,,"драма, исторический",RUONLY
ТАНЦЫ НАСМЕРТЬ,NKI,06.04.17,721,10 млн,45 тыс,14 тыс,865 тыс,0.12,721,"7,5 млн",28 тыс,10 тыс,869 тыс,"4,3 тыс",88.43,,,фантастика,RUONLY
ШЕСТЬ МУЗЫКАНТОВ НА ФОНЕ ГОРОДА,RFLF,06.04.17,2,159 тыс,613,79 тыс,,,2,16 тыс,55,"8,0 тыс",,,,,,документальный,"RUONLY, ARM"
ГЕРОЙ НАШЕГО ВРЕМЕНИ (Большой театр),COOL,06.04.17,39,"1,3 млн","2,5 тыс",34 тыс,,,39,838 тыс,"1,6 тыс",21 тыс,,,,,,опера/балет,RUONLY
РАЗБУДИ МЕНЯ,RWV,30.03.17,40,455 тыс,"2,3 тыс",11 тыс,,,40,195 тыс,995,"4,9 тыс",101 тыс,600,48.47,75 тыс,СР,"драма, триллер",RUONLY
ЭПОХА ТАНЦЕВ,RFLF,30.03.17,13,901 тыс,"3,0 тыс",69 тыс,,,13,743 тыс,"1,8 тыс",57 тыс,,,,,,документальный,"RUONLY, LVA"
МУЛЬТ В КИНО. ВЫПУСК № 50,MVK,30.03.17,469,"4,4 млн",38 тыс,"9,5 тыс",,,469,"2,2 млн",19 тыс,"4,8 тыс","1,6 млн",14 тыс,29.17,,,анимация,RUONLY
"ЧАСТНОЕ ПИОНЕРСКОЕ. УРА, КАНИКУЛЫ!!!",KP21,23.03.17,30,"1,9 млн",16 тыс,62 тыс,,,30,350 тыс,"2,3 тыс",12 тыс,,,,,,"приключения, семейный",RUONLY
О ЛЮБВИ,LUX,23.03.17,287,12 млн,50 тыс,42 тыс,,,287,"5,7 млн",20 тыс,20 тыс,"2,6 млн",12 тыс,53.55,,,драма,RUONLY
«ЗОЛОТАЯ МАСКА»: ЖИЗНЬ И СУДЬБА,COOL,23.03.17,32,593 тыс,"1,2 тыс",19 тыс,,,32,358 тыс,752,11 тыс,,,,,,спектакль,RUONLY
РУССКИЕ ЕВРЕИ. ФИЛЬМ ВТОРОЙ. 1918–1948,CDK,23.03.17,12,"2,8 млн","8,7 тыс",236 тыс,,,11,"1,1 млн","3,0 тыс",100 тыс,463 тыс,"1,3 тыс",57.89,,,документальный,RUONLY
ВЕЗУЧИЙ СЛУЧАЙ!,CRP,16.03.17,977,127 млн,564 тыс,129 тыс,,,977,72 млн,290 тыс,74 тыс,26 млн,108 тыс,64.3,,,комедия,RUONLY
ПОСЛЕ ТЕБЯ,CP,16.03.17,389,13 млн,51 тыс,32 тыс,803 тыс,0.13,389,"6,4 млн",24 тыс,16 тыс,"2,2 млн","8,6 тыс",65.43,,,драма,RUONLY
ВЕЧЕР СОВРЕМЕННОЙ ХОРЕОГРАФИИ (Большой театр),COOL,16.03.17,37,770 тыс,"1,5 тыс",21 тыс,,,37,677 тыс,"1,3 тыс",18 тыс,,,,,,опера/балет,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 49,MVK,16.03.17,471,"5,2 млн",46 тыс,11 тыс,,,471,"2,8 млн",23 тыс,"5,9 тыс","1,8 млн",16 тыс,34.97,,,анимация,RUONLY
