st_id,st_name_ru,st_name_en,st_distrib,st_distrib_idx,st_date_start,st_date_real,st_prev_start,st_prev_end,st_prev_adm,st_prev_box,st_thursday_box,st_thursday_adm,st_thursday_copy,st_1wd_box,st_1wd_adm,st_1wd_copy,st_2wd_box,st_2wd_adm,st_total_box,st_total_adm,st_total_copy,st_genre,st_genre_idx,st_country,st_country_idx,st_rel_id,st_thu_ratio,st_2wd_change,st_1wd_avg,st_total_avg
29198404,ЧЕСТНЫЙ РАЗВОД. БЕНЕФИС,,"<a href=""/distributor/show/id/CRP"" target=""_blank"">CRP</a>",",46,",2023-12-14,2023-12-14,&nbsp;,946684800,0,&nbsp;,,0,0,"4,0 млн",12 тыс,1100,632 тыс,"2,4 тыс","6,4 млн",21 тыс,1100,комедия,",4,",RUONLY,",6,",49152,&nbsp;,84.3,"3,7 тыс","5,8 тыс"
29198339,ЕЛКИ 10,,"<a href=""/distributor/show/id/NMG"" target=""_blank"">NMG</a>",",598,",2023-12-07,2023-12-07,СР,СР,1616,637 тыс,,0,0,117 млн,341 тыс,2193,75 млн,219 тыс,399 млн,"1,2 млн",2193,комедия,",4,",RUONLY,",6,",48945,&nbsp;,36.05,53 тыс,182 тыс
29198498,ЛУНАТИКИ,,"<a href=""/distributor/show/id/AK"" target=""_blank"">AK</a>",",587,",2023-12-07,2023-12-07,&nbsp;,946684800,0,&nbsp;,,0,0,"1,6 млн","4,2 тыс",366,330 тыс,971 ,"2,6 млн","7,5 тыс",366,"драма, детектив",",10,23,",RUONLY,",6,",49448,&nbsp;,79.38,"4,4 тыс","7,0 тыс"
29198509,МУЖЧИНА К НОВОМУ ГОДУ,,"<a href=""/distributor/show/id/SBF"" target=""_blank"">SBF</a>",",500,",2023-12-07,2023-12-07,&nbsp;,946684800,0,&nbsp;,,0,0,358 тыс,951 ,67,&nbsp;,&nbsp;,604 тыс,"2,0 тыс",67,"комедия, мелодрама",",4,16,",RUONLY,",6,",49486,&nbsp;,&nbsp;,"5,3 тыс","9,0 тыс"
29198544,ГЕШЕ ВАНГЬЯЛ. С БЛАГОСЛОВЕНИЕМ ТРЕХ ДРАГОЦЕННОСТЕЙ,,"<a href=""/distributor/show/id/KNT"" target=""_blank"">KNT</a>",",556,",2023-12-07,2023-12-07,&nbsp;,946684800,0,&nbsp;,,0,0,251 тыс,809 ,18,&nbsp;,&nbsp;,523 тыс,"1,6 тыс",18,документальный,",1,",RUONLY,",6,",49584,&nbsp;,&nbsp;,14 тыс,29 тыс
29198688,РЕВЕРС,,"<a href=""/distributor/show/id/KAP"" target=""_blank"">KAP</a>",",588,",2023-12-07,2023-12-05,&nbsp;,946684800,0,&nbsp;,,0,0,226 тыс,573 ,15,&nbsp;,&nbsp;,385 тыс,896 ,15,спектакль,",29,",RUONLY,",6,",50137,&nbsp;,&nbsp;,15 тыс,26 тыс
29198693,ОДНА ДОМА,,"<a href=""/distributor/show/id/CIPA"" target=""_blank"">CIPA</a>",",612,",2023-12-07,2023-12-07,&nbsp;,946684800,0,&nbsp;,,0,0,"4,3 млн",13 тыс,139,"2,3 млн","7,5 тыс",10 млн,313 тыс,146,комедия,",4,",RUONLY,",6,",50161,&nbsp;,45.69,31 тыс,69 тыс
29198726,ХАРЧЫ. ИЭСТЭБИЛ,,SMKT,",155,",2023-12-07,2023-12-07,&nbsp;,946684800,0,&nbsp;,,0,0,"3,9 млн",12 тыс,46,"1,7 млн","5,2 тыс","8,2 млн",27 тыс,46,"драма, триллер",",10,18,",RUONLY,",6,",50283,&nbsp;,57.09,84 тыс,178 тыс
29198008,МУЛЬТ В КИНО. ВЫПУСК № 163. 2024 ПОВОДА УЛЫБНУТЬСЯ,,"<a href=""/distributor/show/id/MVK"" target=""_blank"">MVK</a>",",214,",2023-11-30,2023-12-02,&nbsp;,946684800,0,&nbsp;,,0,0,972 тыс,"6,5 тыс",401,756 тыс,"5,3 тыс","2,8 млн",22 тыс,401,анимация,",7,",RUONLY,",6,",47716,&nbsp;,22.24,"2,4 тыс","6,9 тыс"
29198344,ТЕЩА,,"<a href=""/distributor/show/id/CP"" target=""_blank"">CP</a>",",8,",2023-11-30,2023-11-30,ВС - СР,СР,163,146 тыс,,0,0,214 млн,605 тыс,1953,126 млн,349 тыс,669 млн,"1,9 млн",1953,комедия,",4,",RUONLY,",6,",48957,&nbsp;,41.24,109 тыс,343 тыс
29198417,СЕКРЕТАРЬ ДЕДА МОРОЗА,,"<a href=""/distributor/show/id/CS"" target=""_blank"">CS</a>",",515,",2023-11-30,2023-11-30,&nbsp;,946684800,0,&nbsp;,,0,0,183 тыс,849 ,74,148 тыс,861 ,498 тыс,"3,2 тыс",74,"комедия, семейный",",4,11,",RUONLY,",6,",49168,&nbsp;,19.57,"2,5 тыс","6,7 тыс"
29198485,БЛОНДИНКА,,"<a href=""/distributor/show/id/CPF"" target=""_blank"">CPF</a>",",295,",2023-11-30,2023-11-30,&nbsp;,946684800,0,&nbsp;,,0,0,204 тыс,636 ,67,&nbsp;,&nbsp;,671 тыс,"1,9 тыс",67,"комедия, драма",",4,10,",RUONLY,",6,",49391,&nbsp;,&nbsp;,"3,1 тыс",10 тыс
29198615,НИНА,,"<a href=""/distributor/show/id/NKI"" target=""_blank"">NKI</a>",",17,",2023-11-30,2023-11-30,ВС - СР,СР,414,357 тыс,,0,0,"1,4 млн",430 ,213,584 тыс,"1,6 тыс","3,4 млн","9,3 тыс",213,"драма, мелодрама",",10,16,",RUONLY,",6,",49820,&nbsp;,57.88,"6,5 тыс",16 тыс
29198659,БАБА МОРОЗ И ТАЙНА НОВОГО ГОДА,,"<a href=""/distributor/show/id/NKI"" target=""_blank"">NKI</a>",",17,",2023-11-30,2023-11-30,&nbsp;,946684800,0,&nbsp;,,0,0,13 млн,48 тыс,1314,"6,1 млн",22 тыс,25 млн,95 тыс,1314,семейный,",11,",RUONLY,",6,",50002,&nbsp;,52.73,"9,8 тыс",19 тыс
29198690,АРХИТЕКТОР. ИСТОРИЯ АЛЕКСЕЯ ГЕРМАНА И ЕГО ФИЛЬМОВ,,"<a href=""/distributor/show/id/KNT"" target=""_blank"">KNT</a>",",556,",2023-11-30,2023-12-02,&nbsp;,946684800,0,&nbsp;,,0,0,"8,8 тыс",35 ,8,&nbsp;,&nbsp;,76 тыс,230 ,8,"документальный, биография",",1,8,",RUONLY,",6,",50142,&nbsp;,&nbsp;,"1,1 тыс","9,5 тыс"
